transformer,winding,terminal,connection,kv,kva,tap,r_pct,r_neut,x_neut,max_tap,min_tap,num_taps
1000015_xfmr_a,2,x_1000015.1,wye,0.24,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000764_xfmr_abc,1,181980.1.2.3,delta,12.47,999.99,1,0.005,-1,0,1.1,0.9,32
1000764_xfmr_abc,2,x_1000764.1.2.3,wye,0.208,999.99,1,0.005,-1,0,1.1,0.9,32
1001685_xfmr_abc,1,181981.1.2.3,delta,12.47,1500,1,0.004500000000000001,-1,0,1.1,0.9,32
1001685_xfmr_abc,2,x_1001685.1.2.3,wye,0.208,1500,1,0.004500000000000001,-1,0,1.1,0.9,32
1001819_xfmr_a,1,181985.1,wye,7.19956121359083,10,1,0.006500000000000001,-1,0,1.1,0.9,32
1001819_xfmr_a,2,x_1001819.1,wye,0.24,10,1,0.006500000000000001,-1,0,1.1,0.9,32
1000199_xfmr_a,1,181986.1,wye,7.19956121359083,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000199_xfmr_a,2,x_1000199.1,wye,0.24,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000199_xfmr_b,1,181986.2,wye,7.19956121359083,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000199_xfmr_b,2,x_1000199.2,wye,0.24,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000199_xfmr_c,1,181986.3,wye,7.19956121359083,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000199_xfmr_c,2,x_1000199.3,wye,0.24,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000567_xfmr_abc,1,181989.1.2.3,delta,12.47,300,1,0.00349,-1,0,1.1,0.9,32
1000567_xfmr_abc,2,x_1000567.1.2.3,wye,0.208,300,1,0.00349,-1,0,1.1,0.9,32
1001665_xfmr_abc,1,181990.1.2.3,delta,12.47,999.99,1,0.005,-1,0,1.1,0.9,32
1001665_xfmr_abc,2,x_1001665.1.2.3,wye,0.208,999.99,1,0.005,-1,0,1.1,0.9,32
1001577_xfmr_abc,1,181991.1.2.3,delta,12.47,2000.01,1,0.004500000000000001,-1,0,1.1,0.9,32
1001577_xfmr_abc,2,x_1001577.1.2.3,wye,0.208,2000.01,1,0.004500000000000001,-1,0,1.1,0.9,32
1000670_xfmr_b,1,181994.2,wye,7.19956121359083,10,1,0.006500000000000001,-1,0,1.1,0.9,32
1000670_xfmr_b,2,x_1000670.2,wye,0.24,10,1,0.006500000000000001,-1,0,1.1,0.9,32
1001339_xfmr_a,1,181995.1,wye,7.19956121359083,10,1,0.006500000000000001,-1,0,1.1,0.9,32
1001339_xfmr_a,2,x_1001339.1,wye,0.24,10,1,0.006500000000000001,-1,0,1.1,0.9,32
1001805_xfmr_a,1,182002.1,wye,7.19956121359083,10,1,0.006500000000000001,-1,0,1.1,0.9,32
1001805_xfmr_a,2,x_1001805.1,wye,0.24,10,1,0.006500000000000001,-1,0,1.1,0.9,32
1001805_xfmr_b,1,182002.2,wye,7.19956121359083,10,1,0.006500000000000001,-1,0,1.1,0.9,32
1001805_xfmr_b,2,x_1001805.2,wye,0.24,10,1,0.006500000000000001,-1,0,1.1,0.9,32
1001805_xfmr_c,1,182002.3,wye,7.19956121359083,10,1,0.006500000000000001,-1,0,1.1,0.9,32
1001805_xfmr_c,2,x_1001805.3,wye,0.24,10,1,0.006500000000000001,-1,0,1.1,0.9,32
